Hero,Hero Name,Role,Element,Hero Skill Names,Hero Skill Descriptions,Hero Skill Turns,Soul Burn Count,Soul Burn Descriptions
c1157,Shalltear,warrior,fire,"[""Summon Household"", ""True Vampire"", ""Purifying Javelin""]","[""Summons different familiars to attack the enemy, inflicting [b]injuries[/b]. The severity of injuries increases proportional to the damage dealt. Injuries decrease max Health of the target by up to 10% every time this skill is used."", ""[b]Damage suffered in one attack[/b] does not exceed [color=orange]51%[/color] of max Health. At the start of the turn, when the caster's Health is 60% or more, [color=#1080e5]increases Attack[/color] for 1 turn. At the end of the turn, grants [color=#1080e5]stealth[/color] for 1 turn."", ""[b]Dispels all buffs[/b] from the enemy and attacks with a gigantic javelin of white silver. [b]Increases Hit Chance[/b] by 100% when using this skill. [b]Ignores Effect Resistance[/b] of any targets with Attack lower than the caster's Attack.""]","['', '', '3 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt and injuries decrease max Health of the target by up to 20%."", """", """"]"
c1092,Sol,warrior,fire,"[""Gunflame"", ""Volcanic Viper"", ""Tyrant Rave ver. Beta""]","[""Attacks an enemy with pillars of fire. Damage dealt increases when the enemy isn't buffed. Activates Roman Cancel when the caster's Fighting Spirit is 100 after attacking. Cannot be triggered by a counterattack. [b]Roman Cancel[/b] : [b]Consumes all Fighting Spirit[/b] and [b]extends the duration of buffs[/b] granted to the caster by 1 turn, before granting the caster an [b]extra turn[/b]."", ""When an enemy uses a non-attack skill, [b]increases Combat Readiness[/b] of the caster by 20% and [b]gains 20 Fighting Spirit[/b]. When suffering an attack that targets all allies, activates Volcanic Viper against the attacker. This effect is not activated by a counterattack, Dual Attack, or extra attack. Each effect can only be activated once every 2 turns. [b]Volcanic Viper[/b] ( [color=#1080e5]Acquire 2 Soul[/color] ): Launches the enemy into the air and attacks repeatedly, inflicting [color=red]silence[/color] for 2 turns. Damage dealt increases proportional to the [b]enemy's max Health[/b]."", ""Attacks with a strong punch, [b]dispelling all buffs[/b] before making them [color=red]unable to be buffed[/color] for 2 turns. Damage dealt increases proportional to the [b]enemy's max Health[/b]. After attacking, inflicts [b]additional damage[/b] regardless of whether the attack hits.""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1002,Cecilia,knight,fire,"[""Deliverance"", ""Steel Cloudburst"", ""Ruinous Retribution""]","[""Attacks with a spear, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns. When the target is inflicted with [color=red]decreased Attack[/color], effect chance increases by 25%. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks [b]all enemies[/b] with a magical spear, with a [color=orange]100%[/color] chance to [color=red]decrease Attack[/color] for 2 turns, before [b]dispelling one buff[/b]. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Attacks [b]all enemies[/b] with a spear infused with dark energy, with a [color=orange]100%[/color] chance to [color=red]provoke[/color] for 1 turn, before granting [color=#1080e5]immunity[/color] to all allies for 2 turns and a [color=#1080e5]barrier[/color] to the caster for 2 turns. Damage dealt and barrier strength increases proportional to the [b]caster's max Health[/b].""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""Skill cooldown is decreased by 2 turns."", """"]"
c1009,Charlotte,knight,fire,"[""Dual Swords"", ""Will of the Swamp"", ""Vortex""]","[""Attacks with dual swords, with a [color=orange]50%[/color] chance to [color=red]decrease Attack[/color] for 1 turn. When the caster is buffed, Dual Swords becomes an attack that targets [b]all enemies[/b] when used on the caster's turn. [b]Increases caster's Combat Readiness[/b] by 20% after attacking with this changed attack, and a successful attack with this changed attack always [b]results in a critical hit[/b]. This changed attack does not trigger a Dual Attack."", ""After being attacked, the caster gains [color=orange]20[/color] [b]Fighting Spirit[/b] and is granted [color=#1080e5]increased Attack[/color] and [color=#1080e5]Defense[/color] for 1 turn. When attacked on the caster's turn, acquired [b]Fighting Spirit is doubled[/b]. [color=#1080e5]Increased Attack[/color] and [color=#1080e5]Defense[/color] can only be granted once per turn."", ""Cuts [b]all enemies[/b] while spinning, making them [color=red]unhealable[/color] for 2 turns. A successful attack always [b]results in a critical hit[/b].""]","['', '', '1 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Acquires 100 [b]Fighting Spirit[/b] after using this skill.""]"
c1113,Ilynav,knight,fire,"[""Rush"", ""Punish"", ""Repel""]","[""Attacks the enemy with a spear. Damage dealt increases proportional to the [b]caster's max Health[/b]. When this skill is used, if it was not triggered by a Dual Attack, has a 50% chance to use Punish instead of Rush. This skill does not trigger a Dual Attack."", ""Attacks and pierces the enemy, inflicting [b]injuries[/b]. A successful attack deals [b]additional damage[/b] equivalent to 50% of injuries inflicted on the target. Damage dealt increases proportional to the [b]caster's max Health[/b]. The severity of [b]injuries[/b] increases proportional to the damage dealt. Injuries decrease max Health of the target by [b]up to 20%[/b] every time this skill is used."", ""Attacks [b]all enemies[/b] mercilessly, inflicting [b]injuries[/b]. Grants [color=#1080e5]Increased Critical Hit Damage[/color] of all allies for 2 turns, and grants [color=#1080e5]immunity[/color] to the caster for 2 turns. Damage dealt increases proportional to the [b]caster's max Health[/b]. The severity of injuries increases proportional to damage dealt. Injuries decrease max Health of the target by [b]up to 20%[/b] every time this skill is used.""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""Increase damage dealt."", """"]"
c1089,Lilias,knight,fire,"[""Follow Me! Charge!"", ""That's Far Enough!"", ""Ready, Load, Fire!""]","[""Takes the lead to attack the enemy, and triggers a [b]Dual Attack[/b] from a random ally. Increases Critical Hit Chance by 50% when attacking and damage dealt increases proportional to the [b]caster's max Health[/b]."", ""After an enemy uses a non-attack skill, [b]dispels one debuff[/b] from the caster, and activates Suppression against the enemy caster. Suppression can only be activated once every 2 turns. [b]Suppression[/b] : [color=red]Provokes[/color] the target for 1 turn, and grants a [color=#1080e5]barrier[/color] to the caster for 2 turns. Barrier strength increases proportional to the [b]caster's max Health[/b]."", ""[b]Dispels all debuffs[/b] from all allies and commands the Perland Army to attack by firing on [b]all enemies[/b] before [b]decreasing Combat Readiness[/b] by 25%. [b]Increases Critical Hit Chance[/b] by 50% when attacking, inflicting damage according to the [b]Attack of the Hero with the highest Attack[/b].""]","['', '2 turns', '4 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c1039,Haste,assassin,fire,"[""Envoy's Scythe"", ""Blood Rend"", ""Vampiric Seal""]","[""Attacks the enemy with an enormous scythe, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns."", ""Attacks the enemy with a scythe, making them [color=red]unhealable[/color] and inflicting [color=red]vampiric touch[/color] for 2 turns, and [b]recovers the Health of all allies[/b]. Amount recovered increases [b]proportional to damage dealt[/b]."", ""Attacks [b]all enemies[/b] with Envoy's Scythe, [b]dispelling two buffs[/b] before a [color=orange]100%[/color] chance each to inflict two [color=red]bleeding[/color] effects for 2 turns. A critical hit has a [color=orange]85%[/color] chance to [color=red]decrease Defense[/color] for 2 turns. When there are three or fewer enemies, [b]damage dealt increases with fewer enemies[/b]. This skill [b]cannot trigger a counterattack[/b].""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""Increase damage dealt."", """"]"
c1055,Jenua,assassin,fire,"[""Taste Test"", ""Wild Dog Company Captain"", ""Bite""]","[""Attacks the enemy by dashing towards them, and [color=#1080e5]increases Attack[/color] of the caster for 1 turn. When the caster is already [color=#1080e5]enraged[/color], activates Bite as an [b]extra attack[/b] Bite can only be activated once per turn, during the caster's turn."", ""Upon receiving lethal damage, grants [color=#1080e5]immortality[/color] to the caster for 1 turn. [color=#1080e5]Immortality[/color] can only be activated once per battle. After being attacked, when Health is 50% or less, [b]activates Plan A[/b]. Plan A can only be activated once every 5 tums. [b]Plan A[/b] : [b]Dispels all debuffs[/b] from the caster and becomes [color=#1080e5]enraged[/color] for 2 turns, before [b]increasing Combat Readiness[/b] by 50%."", ""Attacks the enemy with a sword, and [b]recovers Health[/b] of the caster. [b]Penetrates[/b] the target's Defense. A critical hit deals [b]additional damage[/b] proportional to the [b]caster's Attack[/b] to all enemies except for the target. Amount recovered increases proportional to the [b]caster's Attack[/b].""]","['', '4 turns', '4 turns']","['Soulburn (10 souls)', '', '']","[""Grants [color=#1080e5]increased Attack (Greater)[/color] for 1 turn."", """", """"]"
c1023,Kayron,assassin,fire,"[""Void Slash"", ""Immortal Will"", ""Apocalypse""]","[""Attacks with a sword, with a [color=orange]50%[/color] chance to [color=red]decrease Hit Chance[/color] for 1 turn, dealing damage proportional to the [b]caster's lost Health[/b]. When this skill is used, if it was not triggered by a Dual Attack and the caster has a buff, this skill changes into an attack that targets [b]all enemies[/b]. The changed attack does not trigger a Dual Attack."", ""Grants [color=#1080e5]immortality[/color] and [color=#1080e5]increased Evasion[/color] for 1 turn when the caster receives lethal damage and [b]resets skill cooldown[/b] of Apocalypse. Can only be activated once every [color=orange]6[/color] turns."", ""Attacks the enemy by exploding the Archdemon's Might contained within the sword, before [color=#1080e5]increasing Attack[/color] of the caster for 2 turns. When the enemy is defeated, [b]extends the duration of any buffs[/b] already granted to the caster by 1 turn. Damage dealt increases proportional to the [b]caster's lost Health[/b].""]","['', '6 turns', '5 turns']","['Soulburn (10 souls)', '', '']","[""Increase damage dealt."", """", """"]"
c1139,ae-WINTER,assassin,fire,"[""Rapid Cut"", ""Next Level"", ""Black Out""]","[""Attacks the enemy with a sword and has a [color=orange]40%[/color] chance to [color=red]stun[/color] for 1 turn."", ""At the start of the battle and at the end of the turn, grants [color=#1080e5]stealth[/color] for 1 turn. After an enemy uses a [b]non-attack skill[/b], [b]dispels all debuffs[/b] from the caster and activates Level Up. The debuff dispelling effect and Level Up can only be activated once every [color=orange]2[/color] turns. [b]Level Up[/b] : Grants [color=#1080e5]Immunity[/color] to the caster for 2 turns and fully [b]resets skill cooldown[/b] of Black Out."", ""Attack the enemy with various weapons and [color=red]stuns[/color] for 2 turns, and [b]increase Combat Readiness[/b] of the caster by 50%. A critical hit will deal an [b]additional[/b] 5000 [b]fixed damage[/b]. Increase fixed damage by 5000 every time this skill is used, stacking up to 3 times.""]","['', '2 turns', '5 turns']","['Soulburn (10 souls)', '', '']","[""Increase effect chance to 100%."", """", """"]"
c5110,Afternoon Soak Flan,ranger,fire,"[""Do Not Disturb"", ""I’m Still On Vacation!"", ""In the Palm of My Hand""]","[""Attacks the enemy with a gun, with a [color=orange]40%[/color] chance to [b]stun[/b] for 1 turn. A successful attack [b]always results in a critical hit[/b]. When used on the caster's turn, uses It's a Whopper! instead of Do Not Disturb. [b]It's a Whopper![/b] : Attacks [b]all enemies[/b], and gains 1 [b]Focus[/b]. A successful attack [b]always results in a critical hit[/b]. This skill does [b]not trigger a Dual Attack or counterattack[/b]."", ""At the start of the first battle, gains 3 [b]Focus[/b]. [b]Increases Evasion[/b] by 50%, and when Focus is 1 or higher, [b]increases Evasion[/b] by an additional 50%. After an ally uses a basic skill, consumes 1 Focus, triggering a [b]Dual Attack[/b], and [b]increases Combat Readiness[/b] of the caster by [color=orange]25%[/color]."", ""Attacks the enemy, [color=#1080e5]decreasing Defense[/color] for 2 turns, and [b]increases Combat Readiness[/b] of all allies by 20%. A successful attack [b]always results in a critical hit[/b].""]","['', '', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1141,Beehoo,ranger,fire,"[""Scorching Flare"", ""Flame Keeper"", ""Symphony of Radiance""]","[""Attacks the enemy with flames, [color=red]burning[/color] for 1 turn. When used on the caster's turn, activates lncinerate instead of Scorching Flare. [b]Incinerate[/b] : Attacks the enemy with an explosion of flames and [color=red]burns[/color] for 1 turn, before [b]detonating burn[/b] effects inflicted on the target at the end of the turn. This skill cannot trigger a Dual Attack."", ""[b]Increases Attack[/b] and [b]Defense[/b] by [color=orange]30%[/color]. When attacking, [b]cannot trigger a critical hit[/b]. Increases [color=red]burn[/color] damage suffered by enemies by 30%. This skill effect does not stack with other passive skills of the same name."", ""With light, [b]dispels two buffs[/b] from all enemies and makes them [color=red]unable to be buffed[/color] for 2 turns, before [b]increasing Combat Readiness[/b] of the caster by 50%. [b]Increases Combat Readiness[/b] of all allies except for the caster by 20%.""]","['', '', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Skill cooldown is decreased[/b] by 2 turns.""]"
c1097,Bomb Model Kanna,ranger,fire,"[""Quick Bombardment"", ""Stance Shift"", ""Full Bombardment!""]","[""Rapidly fires to [b]attack two enemies[/b]. Damage dealt increases proportional to the [b]caster's Speed[/b]."", ""When Full Bombardment! is available at the start of the turn, takes a Shelling Stance. When Full Bombardment! is unavailable at the end of the turn, takes a Striking Stance. Can only take one stance at a time.Shelling Stance: [b]Increases Effectiveness[/b] by [color=orange]50%[/color].Striking Stance: [b]Increases Speed[/b] and [b]Dual Attack chance[/b] by [color=orange]15%[/color]."", ""Boosts firepower to [b]attack all enemies[/b], with a [color=orange]100%[/color] chance to [b]dispel one buff[/b], before [color=#1080e5]increasing Speed[/color] of all allies for 2 turns and [color=#1080e5]increasing Attack[/color] of the caster for 2 turns.""]","['', '', '3 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Extends duration of buffs[/b] granted by this skill by 1 turn.""]"
c1142,Eligos,ranger,fire,"[""Point-Blank Shot"", ""The Cleaner"", ""Cloak and Trigger""]","[""Attacks the enemy by dashing towards them. When the caster is granted [color=#1080e5]increased Attack (Greater)[/color], triggers a [b]Dual Attack[/b] from the ally with the highest Attack. Damage deait increases proportional to the [b]caster's Speed[/b]."", ""[b]Hit Chance[/b] and [b]Critical Hit Damage[/b] increases by 50%. When an ally except for the caster defeats an enemy, [b]activates Time Bomb[/b] against the enemy with the lowest Health. Can only be activated once every [color=orange]2[/color] turns. [b]Time Bomb[/b] : After granting [color=#1080e5]increased Attack (Greater)[/color] to the caster for 2 turns, attacks the enemy with a bomb. Damage dealt increases proportional to the [b]caster's Speed[/b]."", ""Inflicts [b]resource reduction[/b] on the target by 60%, before attacking the enemy with a pistol, [b]dispelling two buffs[/b] before inflicting [color=red]target[/color] and [color=red]decreased Defense[/color] for 2 turns and [b]decreasing Combat Readiness[/b] by [color=orange]50%[/color]. [b]Increases Combat Readiness[/b] of the caster by [color=orange]50%[/color].""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1105,Elphelt,ranger,fire,"[""Barrage"", ""Judge Better Half"", ""Magnum Wedding""]","[""Fires a barrage of bullets at the enemy, with a [color=orange]75%[/color] chance to make them [color=red]unable to be buffed[/color] for 1 turn."", ""Traps the enemy in a cake, before attacking them with a cake-cutting blade and [color=#1080e5]increasing Attack[/color] of all allies for 2 turns. When the enemy is [color=red]asleep[/color], [color=red]decreases Defense[/color] of all enemies for 2 turns. Damage dealt increases proportional to the [b]number of debuffs[/b] inflicted on the enemy."", ""[b]Dispels two buffs[/b] from the enemy before shooting a bullet of love, with a [color=orange]100%[/color] chance each to put them to [color=red]sleep[/color] and [color=red]decrease Defense[/color] for 2 turns. Grants the caster an [b]extra turn[/b].""]","['', '4 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1046,Lidica,ranger,fire,"[""Wild Rose"", ""Thornbush"", ""Public Execution""]","[""Attacks with a sword, [b]decreasing Combat Readiness[/b] by 10%. When the [b]enemy is debuffed[/b], [b]decreases Combat Readiness[/b] by an additional 10%."", ""Attacks [b]all enemies[/b], with a [color=orange]100%[/color] chance each to [color=red]decrease Hit Chance[/color] for 1 turn, make them [color=red]unhealable[/color] for 1 turn, and [b]dispel one buff[/b]."", ""Attacks the enemy with a whip sword, [b]decreasing buff durations[/b] by 1 turn, before [b]decreasing Combat Readiness[/b] by 100% and [color=red]decreasing Speed[/color] for 2 turns. Grants the caster [color=#1080e5]skill nullifier[/color] once, negating damage received from the next skill attack.""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""[b]Ignores Effect Resistance[/b]."", """"]"
c1151,Nahkwol,ranger,fire,"[""Phantom Brush"", ""Forbidden Incantation"", ""Spiritual Devouring""]","[""Attacks the enemy with a brush, with a [color=orange]75%[/color] chance to [color=red]silence[/color] for 1 turn. After attacking, if the target is inflicted with [color=red]silence[/color], [b]decreases Combat Readiness[/b] by 20%."", ""[color=red]Seals[/color] the enemy for 2 turns before attacking, and [color=#1080e5]increases Speed[/color] of the caster for 2 turns."", ""Attacks [b]all enemies[/b] with a powerful spell, [b]dispelling all buffs[/b] before inflicting [color=red]bind[/color] for 2 turns and [b]increasing skill cooldowns[/b] by 1 turn. Grants an [b]extra turn[/b] to the caster.""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
